Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Affle (India) Ltd,AFFLE,Advertising,20527.10528,1464.35,69.05205797902579,,AFFLE
Vertoz Advertising Ltd,VERTOZ,Advertising,2950.6626,34.62,186.98749049429657,,"AFFLE,VERTOZ"
Praveg Ltd,PRAVEG,Advertising,2035.964093,788.35,156.7331865200154,,"AFFLE,VERTOZ,PRAVEG"
Media Matrix Worldwide Ltd,MMWL,Advertising,1914.3343501099998,16.9,382.8668700219929,,"AFFLE,VERTOZ,PRAVEG,MMWL"
R K Swamy Ltd,RKSWAMY,Advertising,1534.508126,304,38.623411185502164,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY"
Brightcom Group Ltd,BCG,Advertising,1459.3913141790001,7.23,1.0644721474682708,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG"
Signpost India Ltd,SIGNPOST,Advertising,1291.1382,241.56,29.27087281795511,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST"
Bright Outdoor Media Ltd,BRIGHT,Advertising,640.14632,440,39.90937157,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT"
DRC Systems India Ltd,DRCSYSTEMS,Advertising,347.8555322,26.26,29.858843963948484,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS"
Exhicon Events Media Solutions Ltd,EXHICON,Advertising,347.13575,267.8,26.55973603672531,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON"
Crayons Advertising Ltd,CRAYONS,Advertising,310.261,127,17.67868945868945,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS"
Maagh Advertising and Marketing Services Ltd,MAAGHADV,Advertising,292.2912375,12.99,121.78801562500001,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV"
E Factor Experiences Ltd,EFACTOR,Advertising,275.3735819,210.4,17.916303312947264,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR"
Maxposure Ltd,MAXPOSURE,Advertising,228.773957,100.6,28.24369839506171,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE"
Touchwood Entertainment Ltd,TOUCHWOOD,Advertising,151.4473754,136.67,46.599192435384616,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD"
Cinerad Communications Ltd,CINERAD,Advertising,149.96114679000002,78.26,-272.6566305,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD"
Pramara Promotions Ltd,PRAMARA,Advertising,132.72415,146.9,33.516199494949475,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA"
Graphisads Ltd,GRAPHISAD,Advertising,93.4842975,51.15,25.612136301369798,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD"
Innokaiz India Ltd,INNOKAIZ,Advertising,55.1869928,53.98,26.279520380952405,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ"
Veritaas Advertising Ltd,VERITAAS,Advertising,42.895485,151.95,25.232638235294118,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS"
Sungold Media and Entertainment Ltd,SMEL,Advertising,24.31,22.1,810.3333333333344,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL"
Silly Monks Entertainment Ltd,SILLYMONKS,Advertising,23.6289482,23.14,-2362.89482,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS"
WINPRO INDUSTRIES LIMITED,WINPRO,Advertising,23.09124741,2.6,-82.46874075,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO"
Janus Corporation Ltd,JANUSCORP,Advertising,22.91812,9.2,61.94086486486491,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP"
Innovatus Entertainment Networks Ltd,INNOVATUS,Advertising,20.494524,51.78,32.02269374999999,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS"
