Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Prime Focus Ltd,PFOCUS,Animation,4274.670285,142.55,-10.56648198,,PFOCUS
Basilic Fly Studio Ltd,BASILIC,Animation,1374.4136,591.4,37.634545454545446,,"PFOCUS,BASILIC"
Phantom Digital Effects Ltd,PHANTOMFX,Animation,529.724592,390.1,21.98027352697094,,"PFOCUS,BASILIC,PHANTOMFX"
Digikore Studios Ltd,DIGIKORE,Animation,307.29912,485.25,32.211647798742135,,"PFOCUS,BASILIC,PHANTOMFX,DIGIKORE"
Page Industries Ltd,PAGEIND,Apparel & Accessories,46862.276609190005,42014.35,82.33151779,,PAGEIND
Raymond Ltd,RAYMOND,Apparel & Accessories,13284.331141910001,1996.1,8.111379792830359,,"PAGEIND,RAYMOND"
Safari Industries (India) Ltd,SAFARI,Apparel & Accessories,10268.66842,2105.65,58.407760741197855,,"PAGEIND,RAYMOND,SAFARI"
Arvind Ltd,ARVIND,Apparel & Accessories,9885.70746,377.85,29.368430706425848,,"PAGEIND,RAYMOND,SAFARI,ARVIND"
Campus Activewear Ltd,CAMPUS,Apparel & Accessories,9681.220567,317.1,108.24262709067543,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS"
Gokaldas Exports Ltd,GOKEX,Apparel & Accessories,6817.33398,954.7,52.04866376668206,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX"
V I P Industries Ltd,VIPIND,Apparel & Accessories,6623.772429,466.55,121.98475929042282,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND"
Go Fashion (India) Ltd,GOCOLORS,Apparel & Accessories,6187.269207,1145.6,74.72547351497579,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS"
Lux Industries Ltd,LUXIND,Apparel & Accessories,6026.364872,2004,46.52845021927116,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND"
Vaibhav Global Ltd,VAIBHAVGBL,Apparel & Accessories,5635.2932951699995,339.9,44.05326215736399,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL"
Pearl Global Industries Ltd,PGIL,Apparel & Accessories,4497.370632,985.35,25.722778725377474,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL"
Kewal Kiran Clothing Ltd,KKCL,Apparel & Accessories,4134.433662,670.9,26.834774204257805,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL"
TCNS Clothing Co Ltd,TCNSBRANDS,Apparel & Accessories,3771.611394,595.75,-13.07136409,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS"
Dollar Industries Ltd,DOLLAR,Apparel & Accessories,2880.895315,507.95,31.942513753187757,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR"
Rupa & Company Ltd,RUPA,Apparel & Accessories,2483.552009,312.3,35.591172381771315,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA"
Cantabil Retail India Ltd,CANTABIL,Apparel & Accessories,2320.11923,277.4,37.28896222436517,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL"
S.P.Apparels Ltd,SPAL,Apparel & Accessories,2160.598323,861.05,24.09230957850133,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL"
Kitex Garments Ltd,KITEX,Apparel & Accessories,1515.003,227.82,26.895135806852483,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX"
Monte Carlo Fashions Ltd,MONTECARLO,Apparel & Accessories,1465.756925,707,24.453735815815765,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO"
Filatex Fashions Ltd,FILATFASH,Apparel & Accessories,1180.104698,7.08,131.7081136004463,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH"
SBC Exports Ltd,SBC,Apparel & Accessories,907.9356,28.6,95.97627906976747,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC"
Bhartiya International Ltd,BIL,Apparel & Accessories,543.8071659,445.4,2364.378982347694,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL"
Lorenzini Apparels Ltd,LAL,Apparel & Accessories,384.23309228200003,23.06,72.63385487372403,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL"
VIP Clothing Ltd,VIPCLOTHNG,Apparel & Accessories,377.46609183000004,45.7,-29.83921675,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG"
Zodiac Clothing Company Ltd,ZODIACLOTH,Apparel & Accessories,342.9351084,131.93,-9.429065394,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH"
Indian Terrain Fashions Ltd,INDTERRAIN,Apparel & Accessories,310.2632534,70.05,-20.78119581,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN"
Lovable Lingerie Ltd,LOVABLE,Apparel & Accessories,235.8084,159.33,54.96699300699302,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN,LOVABLE"
Gretex Industries Ltd,GRETEX,Apparel & Accessories,201.478016,136,20.087538983050834,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN,LOVABLE,GRETEX"
SPL Industries Ltd,SPLIL,Apparel & Accessories,190.6460263,65.74,16.239014164906305,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN,LOVABLE,GRETEX,SPLIL"
Bhandari Hosiery Exports Ltd,BHANDARI,Apparel & Accessories,173.5558984,7.23,26.578238651761115,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN,LOVABLE,GRETEX,SPLIL,BHANDARI"
Pioneer Embroideries Ltd,PIONEEREMB,Apparel & Accessories,146.22766776199998,49.61,39.30851284,,"PAGEIND,RAYMOND,SAFARI,ARVIND,CAMPUS,GOKEX,VIPIND,GOCOLORS,LUXIND,VAIBHAVGBL,PGIL,KKCL,TCNSBRANDS,DOLLAR,RUPA,CANTABIL,SPAL,KITEX,MONTECARLO,FILATFASH,SBC,BIL,LAL,VIPCLOTHNG,ZODIACLOTH,INDTERRAIN,LOVABLE,GRETEX,SPLIL,BHANDARI,PIONEEREMB"
