Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Godrej Agrovet Ltd,GODREJAGRO,Agro Products,15732.6921,818.3,43.742019348402664,,GODREJAGRO
Gujarat Ambuja Exports Ltd,GAEL,Agro Products,6298.924174,137.33,18.212352321112583,,"GODREJAGRO,GAEL"
Fratelli Vineyards Ltd,TINNATFL,Agro Products,1772.2061736599999,419.9,16110.96522,,"GODREJAGRO,GAEL,TINNATFL"
AVT Natural Products Ltd,AVTNPL,Agro Products,1326.698208,87.12,24.895819253143223,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL"
GRM Overseas Ltd,GRMOVER,Agro Products,860.7,204.88,14.177236040191069,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER"
KSE Ltd,KSE,Agro Products,841.28,2629,47.77285633,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE"
Sukhjit Starch and Chemicals Ltd,SUKHJITS,Agro Products,825.23215,507,16.514551731038658,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS"
KN Agri Resources Ltd,KNAGRI,Agro Products,596.5989872,238.65,19.08506036948178,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI"
TBI Corn Ltd,TBI,Agro Products,538.5782923,296.6,53.32458339603961,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI"
Modi Naturals Ltd,MODINATUR,Agro Products,476.83473649499996,358.35,-350.6137768,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR"
Indo Us Bio-Tech Ltd,INDOUS,Agro Products,457.1856,228,55.41643636363639,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS"
Nath Bio-Genes (I) Ltd,NATHBIOGEN,Agro Products,455.90596,239.9,11.506965169106511,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN"
Harrisons Malayalam Ltd,HARRMALAYA,Agro Products,451.8805914,244.85,-61.90145088,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA"
Integra Essentia Ltd,ESSENTIA,Agro Products,407.8577878,3.82,26.415659832124373,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA"
Vijay Solvex Ltd,VIJSOLX,Agro Products,362.73511053000004,1133.1,123.80037902048242,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX"
Ruchi Infrastructure Ltd,RUCHINFRA,Agro Products,347.6984023,15.46,24.817873114346884,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA"
UMA Exports Ltd,UMAEXPORTS,Agro Products,319.43527384000004,94.48,31.37871059332049,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS"
Neelamalai Agro Industries Ltd,NEAGI,Agro Products,299.10918176999996,4808.35,7.663571144504225,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI"
Sona Machinery Ltd,SONAMAC,Agro Products,250.18852,182.3,23.895751671442206,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC"
Ajanta Soya Ltd,AJANTSOY,Agro Products,243.70249371999998,30.28,60.62251087562299,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY"
Raghuvansh Agrofarms Ltd,RAFL,Agro Products,234.775735,197,37.089373617693525,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL"
Nirman Agri Genetics Ltd,NIRMAN,Agro Products,232.560612,390.15,22.340116426512964,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN"
Flex Foods Ltd,FLEXFO,Agro Products,194.78025,156.45,-7.511772079,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO"
B & A Ltd,BNALTD,Agro Products,182.9,590,17.87878787878789,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD"
Virat Crane Industries Ltd,VIRATCRA,Agro Products,164.5950013,80.59,16.264328186758902,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA"
Saptarishi Agro Industries Ltd,SPTRSHI,Agro Products,142.6884441,41.94,69.94531575882368,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI"
Agri-Tech (India) Ltd,AGRITECH,Agro Products,139.2039,234.35,14.291981519507187,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI,AGRITECH"
Kothari Fermentation and Biochem Ltd,KFBL,Agro Products,120.825,80.55,-24.55792683,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI,AGRITECH,KFBL"
T & I Global Ltd,TIGLOB,Agro Products,113.5418185,224.05,11.422718158953726,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI,AGRITECH,KFBL,TIGLOB"
Cian Agro Industries & Infrastructure Ltd,CIANAGRO,Agro Products,112.6152415,40.24,22.98270234285716,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI,AGRITECH,KFBL,TIGLOB,CIANAGRO"
Sayaji Industries Ltd,SAYAJIIND,Agro Products,111.864,177,-9.544709898,,"GODREJAGRO,GAEL,TINNATFL,AVTNPL,GRMOVER,KSE,SUKHJITS,KNAGRI,TBI,MODINATUR,INDOUS,NATHBIOGEN,HARRMALAYA,ESSENTIA,VIJSOLX,RUCHINFRA,UMAEXPORTS,NEAGI,SONAMAC,AJANTSOY,RAFL,NIRMAN,FLEXFO,BNALTD,VIRATCRA,SPTRSHI,AGRITECH,KFBL,TIGLOB,CIANAGRO,SAYAJIIND"
