Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Railtel Corporation of India Ltd,RAILTEL,Communication & Networking,15931.382523479999,496.4,64.70648033581084,,RAILTEL
Astra Microwave Products Ltd,ASTRAMICRO,Communication & Networking,8491.881515519999,894.4,70.14026196018834,,"RAILTEL,ASTRAMICRO"
Avantel Ltd,AVANTEL,Communication & Networking,4838.631946,198.9,92.07672590294959,,"RAILTEL,ASTRAMICRO,AVANTEL"
Nelco Ltd,NELCO,Communication & Networking,2028.441668,888.95,85.69673291,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO"
ADC India Communications Ltd,ADCINDIA,Communication & Networking,894.93,1945.5,43.27514506769824,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA"
Smartlink Holdings Ltd,SMARTLINK,Communication & Networking,302.990625,303.75,42.91651912181306,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK"
Precision Electronics Ltd,PRECISIO,Communication & Networking,222.9610432,161,152.71304328767093,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK,PRECISIO"
MRO-TEK Realty Ltd,MRO-TEK,Communication & Networking,151.4200146,81.04,45.74622797824762,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK,PRECISIO,MRO-TEK"
Aksh Optifibre Ltd,AKSHOPTFBR,Communication & Networking,146.91626781300002,9.03,-2.060536715,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK,PRECISIO,MRO-TEK,AKSHOPTFBR"
Kavveri Telecom Products Ltd,KAVVERITEL,Communication & Networking,68.10049584,33.84,-50.82126555,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK,PRECISIO,MRO-TEK,AKSHOPTFBR,KAVVERITEL"
Catvision Ltd,CATVISION,Communication & Networking,13.2577016,24.31,2.2096169333333346,,"RAILTEL,ASTRAMICRO,AVANTEL,NELCO,ADCINDIA,SMARTLINK,PRECISIO,MRO-TEK,AKSHOPTFBR,KAVVERITEL,CATVISION"
Bharat Electronics Ltd,BEL,Electronic Equipments,227443.7683,311.15,57.08184882102108,,BEL
Honeywell Automation India Ltd,HONAUT,Electronic Equipments,47851.20663,54121,95.43519471,,"BEL,HONAUT"
Zen Technologies Ltd,ZENTEC,Electronic Equipments,14212.91101,1700.05,111.1425634540194,,"BEL,HONAUT,ZENTEC"
PG Electroplast Ltd,PGEL,Electronic Equipments,11344.55847,434.7,84.09605984,,"BEL,HONAUT,ZENTEC,PGEL"
Genus Power Infrastructures Ltd,GENUSPOWER,Electronic Equipments,11026.28897,363,127.2215180235377,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER"
Syrma SGS Technology Ltd,SYRMA,Electronic Equipments,8893.460856,500.8,82.86090428100272,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA"
Exicom Tele-Systems Ltd,EXICOM,Electronic Equipments,5434.081932,449.75,85.01379744172402,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM"
Shilchar Technologies Ltd,SHILCTECH,Electronic Equipments,5202.545352,6821.4,56.62326242925558,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH"
Apollo Micro Systems Ltd,APOLLO,Electronic Equipments,3546.084209,115.7,113.94872137532131,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO"
Avalon Technologies Ltd,AVALON,Electronic Equipments,3443.265071,522.95,123.06165373070088,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON"
Centum Electronics Ltd,CENTUM,Electronic Equipments,2167.05048,1680.3,1217.4440900057489,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM"
RIR Power Electronics Ltd,RIR,Electronic Equipments,1457.506994,2094.95,207.62207888888872,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR"
Control Print Ltd,CONTROLPR,Electronic Equipments,1358.148512,849.15,24.92930455176211,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR"
Vinyas Innovative Technologies Ltd,VINYAS,Electronic Equipments,1238.651657,984.25,80.69391899348544,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS"
Elin Electronics Ltd,ELIN,Electronic Equipments,1028.243809,207.06,74.18786503,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN"
Aimtron Electronics Ltd,AIMTRON,Electronic Equipments,1011.709167,495.6,74.39037992647052,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON"
SPEL Semiconductor Ltd,SPELS,Electronic Equipments,998.9038154,216.6,-323.2698432,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS"
