Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,
UltraTech Cement Ltd,ULTRACEMCO,Cement,345392.8082,11984.5,49.30661074,ULTRACEMCO
Grasim Industries Ltd,GRASIM,Cement,184124.9867,2767,32.73629907,"ULTRACEMCO,GRASIM"
Ambuja Cements Ltd,AMBUJACEM,Cement,163551.3989,664,45.72574821,"ULTRACEMCO,GRASIM,AMBUJACEM"
Shree Cement Ltd,SHREECEM,Cement,100190.8251,27768.5,41.8211066,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM"
ACC Ltd,ACC,Cement,46719.59316,2487.9,19.99665856,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC"
J K Cement Ltd,JKCEMENT,Cement,34166.47523,4421.8,43.203312,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT"
Dalmia Bharat Ltd,DALBHARAT,Cement,34007.07383,1813.25,41.17079156,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT"
Ramco Cements Limited,RAMCOCEM,Cement,19496.48427,825.1,54.1644236,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM"
RHI Magnesita India Ltd,RHIM,Cement,12410.7357,601,-123.5636768,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM"
Nuvoco Vistas Corporation Ltd,NUVOCO,Cement,12371.88914,346.4,83.9512054,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO"
Birla Corporation Ltd,BIRLACORPN,Cement,11952.76996,1552.2,28.42108132,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN"
India Cements Ltd,INDIACEM,Cement,11258.56531,363.3,-49.52302856,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM"
JK Lakshmi Cement Ltd,JKLAKSHMI,Cement,10136.09949,861.4,21.48297971,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI"
Star Cement Ltd,STARCEMENT,Cement,8550.840902,211.56,28.97509709,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT"
Prism Johnson Ltd,PRSMJOHNSN,Cement,8241.960641,163.74,45.50803733,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN"
Orient Cement Ltd,ORIENTCEM,Cement,6954.270058,339.45,39.77050245,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM"
Heidelbergcement India Ltd,HEIDELBERG,Cement,5194.199232,229.21,30.96392985,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG"
Sagar Cements Ltd,SAGCEM,Cement,3227.69219,246.94,-74.43939553,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM"
KCP Ltd,KCP,Cement,3137.42535,243.36,16.63975258,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP"
Mangalam Cement Ltd,MANGLMCEM,Cement,2669.162717,970.7,44.69462018,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM"
Sanghi Industries Ltd,SANGHIIND,Cement,2447.122198,94.73,-5.452711063,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND"
Udaipur Cement Works Ltd,UDAICEMENT,Cement,2415.917358,37.72,39.34078094,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT"
HIL Ltd,HIL,Cement,2261.327088,2998.75,64.9619962,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL"
Pokarna Ltd,POKARNA,Cement,2215.85588,714.7,25.36465064,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA"
Ramco Industries Ltd,RAMCOIND,Cement,2134.374358,245.87,20.19084626,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND"
Shiva Cement Ltd,SHIVACEM,Cement,1526.625,51.75,-22.34194351,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM"
Shree Digvijay Cement Co Ltd,SHREDIGCEM,Cement,1514.30983,102.73,17.25119424,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM"
Saurashtra Cement Ltd,SAURASHCEM,Cement,1383.841329,133.83,24.44949344,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM"
NCL Industries Ltd,NCLIND,Cement,1049.26503,231.97,11.26788047,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND"
Deccan Cements Ltd,DECCANCE,Cement,984.307025,702.7,26.41725778,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE"
Visaka Industries Ltd,VISAKAIND,Cement,965.7460025,111.77,1149.697622,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND"
Andhra Cements Ltd,ACL,Cement,885.1290604,96.03,-13.49076452,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL"
Anjani Portland Cement Ltd,APCL,Cement,585.7621689,199.41,-14.99263294,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL"
Shri Keshav Cements and Infra Ltd,SKCIL,Cement,353.7575904,202,38.70433155,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL"
Navkar Urbanstructure Ltd,NAVKAR,Cement,271.322571,12.09,266.0025206,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR"
Kakatiya Cement Sugar and Industries Ltd,KAKATCEM,Cement,184.5824844,237.44,-136.7277662,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM"
Panyam Cements And Mineral Industrties Ltd,PANCM,Cement,162.3130492,202.35,-2.950073596,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM"
Barak Valley Cements Ltd,BVCL,Cement,149.42488,67.43,20.58193939,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL"
Nilachal Refractories Ltd,NILACHAL,Cement,106.1238774,52.12,-16.32675037,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL"
Keerthi Industries Ltd,KEERTHI,Cement,97.92445467,122.15,-6.245182058,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI"
Bheema Cements Ltd,BHEEMACEM,Cement,95.67774587,29.34,-2.836577108,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM"
Burnpur Cement Ltd,BURNPUR,Cement,73.29183291,8.51,-0.739499878,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR"
Hemadri Cements Ltd,HEMACEM,Cement,61.82423,92.69,-5.656379689,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM"
Binani Industries Ltd,BINANIIND,Cement,51.62872405,16.46,-7.220800566,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM,BINANIIND"
