Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","89982.268229805","632.15","71.46724823068216"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","89805.9588888","924","84.91165130743921"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","89336.7665295","4182.85","45.986115401582346"
Info Edge (India) Ltd,NAUKRI,"Online Services","89187.03564336999","6904.45","155.0539562645515"
Lupin Ltd,LUPIN,"Pharmaceuticals","89075.937905115","1953.35","46.527484175919824"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","87823.10494032","1827.3","47.9062119539392"
Marico Ltd,MARICO,"FMCG - Personal Products","87374.89340587","674.9","58.997227147785274"
Godrej Properties Ltd,GODREJPROP,"Real Estate","86953.9740948","3127.2","119.89186660802201"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","83956.213590565","1432.85","26.459819535187847"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","83282.97331538","391.4","5.200437183008527"
Yes Bank Ltd,YESBANK,"Private Banks","82359.79887024","26.28","64.08275602449416"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","80317.32929055","2004.75","41.98742702954691"
Indian Bank,INDIANB,"Public Banks","80231.90952826501","595.65","9.52939808469536"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","79967.17548916","1717.55","84.07596804764859"
Tube Investments of India Ltd,TIINDIA,"Cycles","79104.19204585999","4089.85","65.88227772852254"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","78440","980.5","70.59734134948566"
SRF Ltd,SRF,"Diversified Chemicals","77808.55231425","2624.9","58.252579013595714"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","74846.920518585","1864.35","17.30856780880588"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","73469.41044552","250.2","29.58277382325096"
Persistent Systems Ltd,PERSISTENT,"Software Services","73383.100193095","4796.45","67.1084592529446"
GMR Airports Infrastructure Ltd,GMRINFRA,"Construction & Engineering","72570.17042503199","101.52","-129.75873983055044"
General Insurance Corporation of India,GICRE,"Insurance","72272.508","411.95","10.8097225795258"
NMDC Ltd,NMDC,"Mining - Iron Ore","71134.59579705","242.73","12.759431431598944"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","70365.25043489","1755.35","51.208245713477886"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","69830.846795225","11670.55","189.88673499721267"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","69736.482725985","8176.95","160.6498254416939"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","69304.01294421","257.85","55.34447581052202"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","68520.63309453","720.45","28.45683052915011"
JSW Infrastructure Ltd,JSWINFRA,"Ports","68486.223476575","331.75","59.24875074752796"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","67882.7336634","2580.3","86.66470950796648"
PI Industries Ltd,PIIND,"Diversified Chemicals","66940.32146681","4412.65","39.80988490443652"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","66877.35945141","1839.3","34.712633370398635"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","66619.87710585","5244.55","62.27786439988973"
UCO Bank,UCOBANK,"Public Banks","66403.39170950401","55.54","39.725638903714604"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","65480.44840893","1011.95","447.9746077097215"
PB Fintech Ltd,POLICYBZR,"Online Services","65363.30279225","1441.25","975.8629858502543"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","65079.37755955","4163.65","72.38924335337369"
